resource_id,resource_name,category,need_tags,service_area,county,city,state,eligibility_age_min,eligibility_age_max,description,referral_method,contact_phone,website,ai_match_rules,default_priority,caseworker_notes
R011,Delaware Courts Scholarships for Foster Care Alumni,Education Funding,scholarship;postsecondary;financial_aid,Statewide,Statewide,Statewide,DE,18,26,Scholarship and tuition waiver resource for youth who spent time in Delaware foster care.,Application support,,https://courts.delaware.gov/childadvocate/scholarships.aspx,"education_goal IN ('college','Delaware Tech','DSU','UD')",Medium,
R012,Delaware Student Success - Military Pathway,Military / Career Exploration,military;career_pathway;training;education_benefits,Statewide,Statewide,Statewide,DE,17,24,"Career pathway information explaining military branches, career training, education funding, and benefits.",Career exploration with trusted adult/caseworker,,https://www.delawarestudentsuccess.org/military-pathway/,interest_military == True AND age>=17,Low,"For minors, caseworker should discuss age, school status, family/guardian rules, and informed consent."
R013,Delaware Army National Guard Recruiting,Military / Career Exploration,Army_National_Guard;career;tuition_assistance;service,Statewide,Statewide,Statewide,DE,17,24,Military service and career exploration option through the Delaware Army National Guard.,Recruiter information / career exploration,,https://www.nationalguard.com/delaware,interest_military == True AND age>=17 AND interested_in_guard,Low,"Use as an optional pathway, not an automatic recommendation."
R014,Delaware Air National Guard Recruiting,Military / Career Exploration,Air_National_Guard;technical_training;career,Statewide,Statewide,New Castle,DE,17,24,Career exploration option through the Delaware Air National Guard and 166th Airlift Wing recruiting resources.,Recruiter information / career exploration,,https://www.166aw.ang.af.mil/Recruiting-Retention/,interest_military == True AND age>=17 AND interested_in_air_guard,Low,Use as optional career exploration.
R015,U.S. Coast Guard Careers,Military / Career Exploration,Coast_Guard;career;training;education_benefits,Statewide,Statewide,Nearby stations / national,DE,17,24,Career exploration option for Coast Guard roles with specialized training and education benefits.,Website / recruiter inquiry,,https://www.gocoastguard.com/,interest_military == True AND age>=17 AND interested_in_coast_guard,Low,
R016,The Warehouse,Teen Center / Engagement,teen_center;mentorship;leadership;education;employment;community,New Castle,New Castle,Wilmington,DE,13,24,Teen-centered community space in Wilmington with membership and programs for teens and young adults.,Membership / program enrollment,,https://teenwarehouse.org/,county=='New Castle' AND needs_community_support OR needs_teen_center,Medium,
R017,Big Brothers Big Sisters of Delaware,Mentorship,mentorship;positive_adult;community_based;school_based,Statewide,Statewide,Statewide,DE,6,18,Provides one-to-one mentoring relationships for Delaware youth.,Enroll youth / mentor match inquiry,,https://bbbsde.org/,"age<=18 AND support_network IN ('none','limited') AND wants_mentor",High,
R018,Boys & Girls Clubs of Delaware - Education and Career,Education & Career,academic_support;career;teen_programs;leadership,Statewide,Statewide,Multiple locations,DE,6,18,Club programs that support academic and career success through education and youth development activities.,Join local club / program inquiry,,https://www.bgclubs.org/education-and-career,needs_academic_support OR needs_career_exposure OR needs_safe_after_school_space,Medium,
R019,YMCA of Delaware Teen Workforce Development,Employment,workforce_development;resume;interview;internship;professional_skills,Statewide,Statewide,Multiple YMCA locations,DE,15,19,"Teen workforce development program with workshops in interview preparation, resumes, professional development, job applications, and internships.",Interest form / program enrollment,,https://www.ymcade.org/teen-workforce-development/,age>=15 AND in_high_school AND needs_job_readiness,High,
R020,New Castle County Youth Workforce Development Program,Employment,paid_work;summer_job;workforce;income_eligible,New Castle,New Castle,New Castle County,DE,14,21,Paid youth workforce opportunities for eligible youth in New Castle County.,Application,,https://www.newcastlede.gov/859/Youth-Workforce-Development-Program,county=='New Castle' AND age>=14 AND age<=21 AND needs_paid_work,Medium,
R021,Wilmington Housing Authority YouthBuild,Employment & Education,job_training;GED;pre_apprenticeship;construction;out_of_school_youth,New Castle,New Castle,Wilmington,DE,16,24,Community-based pre-apprenticeship program offering job training and education opportunities for at-risk youth ages 16-24 who left high school.,Program application,,https://whadelaware.org/about-wha/employment-opportunities-and-training-programs/youthbuild,age>=16 AND age<=24 AND (needs_GED OR needs_job_training OR out_of_school),High,
R022,West End Education and Employment Department,Employment & Education,GED;credentials;paid_work;career_pathway;postsecondary,New Castle,New Castle,Wilmington,DE,16,24,"Programs for youth and adults leading to GED attainment, credentials, paid work experiences, and career/postsecondary pathways.",Program inquiry,,https://westendnh.org/programs/academic-education/,needs_GED OR needs_credentials OR needs_paid_work OR career_pathway_needed,High,
R023,The Challenge Program,Employment & Education,job_training;GED;construction;out_of_school_youth,New Castle,New Castle,Wilmington,DE,16,24,Youth job training and GED preparation resource listed in Delaware workforce partner materials.,Program inquiry,302-655-0945,https://www.challengeprogram.org/,needs_job_training OR needs_GED OR interested_in_trades,Medium,
R024,Jobs for Delaware Graduates,Education & Employment,school_to_work;graduation;career_readiness;mentoring,Statewide,Statewide,Statewide,DE,14,21,School-to-work and career readiness support for Delaware students and young adults.,School/program referral,,https://jobsdegrads.org/,in_school AND needs_career_readiness OR graduation_risk,Medium,
R025,Delaware Department of Labor - Vocational Rehabilitation Transition Services,Disability / Employment,disability;transition;career_pathways;IEP;504;employment,Statewide,Statewide,Statewide,DE,14,24,"Transition services for students with disabilities, including IEP/504 students, to explore career pathways and independence.",DVR referral / school referral,,https://labor.delaware.gov/divisions/dvr/transition-services/,has_disability OR has_IEP OR has_504 AND needs_employment_transition,High,
R026,ServiceSource Delaware Pre-ETS,Disability / Career Exploration,disability;career_exploration;pre_employment;in_school_youth,Statewide,Statewide,Statewide,DE,14,21,Pre-Employment Transition Services for in-school youth with disabilities to explore careers.,School/DVR referral,,https://servicesource.org/delaware-pre-ets/,has_disability AND in_school AND needs_career_exploration,Medium,
R027,Independent Resources Inc. Youth Transition Life Skills Program,Disability / Life Skills,disability;life_skills;independence;transition,Statewide,Statewide,Statewide,DE,14,28,Life skills workshops and activities for youth with disabilities to build independence and community participation.,Program inquiry / referral,,https://www.iri-delaware.org/iri/25-transition-life-skills-program/,has_disability AND needs_life_skills,Medium,
R028,Food Bank of Delaware,Food,food_pantry;nutrition;SNAP_referral;food_insecurity,Statewide,Statewide,Statewide,DE,0,99,Food assistance and long-term hunger solutions through community partners across Delaware.,Find local food help / referral,,https://www.fbd.org/,"food_security IN ('sometimes','no','urgent')",High,
R029,Delaware 211 Food Assistance,Food,food_pantry;SNAP;community_meals;emergency_food,Statewide,Statewide,Statewide,DE,0,99,Delaware 211 food assistance page connects residents to food resources and ways to find local food sites.,Call/text/chat 211,211,https://delaware211.org/resources/food/,"food_security IN ('sometimes','no','urgent') OR needs_food_resource_navigation",High,
R030,University of Delaware Cooperative Extension Food Resources,Food,SNAP;food_pantries;emergency_food;resource_navigation,Statewide,Statewide,Statewide,DE,0,99,"Information on local food resources, SNAP, and using 211 to find food sites by ZIP code.",Website / 211 referral,211,https://www.udel.edu/academics/colleges/canr/cooperative-extension/trending/food-resources-delaware/,needs_food_info OR SNAP_application_needed,Medium,
R031,Delaware 211 Housing Assistance,Housing,affordable_housing;rent_assistance;shelter;housing_navigation,Statewide,Statewide,Statewide,DE,0,99,Resource navigation for affordable housing and housing-related services in Delaware.,Call/text/chat 211,211,https://delaware211.org/resources/housing/,"housing_status IN ('unstable','homeless','no_plan') OR needs_rent_help",High,
R032,Housing Alliance Delaware,Housing,rent_assistance;homelessness;housing_navigation;CoC,Statewide,Statewide,Wilmington / Statewide,DE,18,99,Housing resource and coordinated support option listed through Delaware 211 rent payment assistance resources.,Referral / housing navigation,1-833-346-3233,https://www.housingalliancede.org/,"housing_status IN ('homeless','unstable') OR rent_payment_assistance_needed",High,
R033,DART First State Transportation Assistance,Transportation,bus;public_transit;reduced_fare;mobility,Statewide,Statewide,Statewide,DE,0,99,Statewide public transportation service with fixed-route and specialized transit programs.,Transit planning / fare info,1-800-652-DART,https://delaware211.org/resources/transportation-assistance/,"transportation_access IN ('none','limited') OR needs_bus_route",Medium,
R034,Delaware Commute Solutions - Get a Job/Get a Ride,Transportation & Employment,bus_pass;new_job;transportation_to_work,Statewide,Statewide,Statewide,DE,16,99,Program providing new employees a free 30-day bus pass through participating employer partners.,Employer partner referral,,https://delawarecommutesolutions.org/get-a-job-get-a-ride/,"new_job == True AND transportation_access IN ('none','limited')",Medium,
R035,DART Pass App,Transportation,bus_pass;mobile_ticket;public_transit,Statewide,Statewide,Statewide,DE,13,99,Mobile app to purchase and manage DART bus passes and fares.,Download app / caseworker support,,https://play.google.com/store/apps/details?hl=en_US&id=co.bytemark.deldot,uses_DART == True AND needs_bus_pass_management,Low,
R036,DE Thrives Teen Health and Wellness,Health,teen_health;community_health_worker;healthcare;housing_referral;financial_coaching,Statewide,Statewide,Statewide,DE,13,24,"Teen health and wellness information, including connections to community health workers and support services.",Website / referral,,https://dethrives.com/services-for-me/teens,needs_healthcare_navigation OR needs_community_health_worker,Medium,
R037,Help Is Here Delaware,Mental Health & Substance Use,mental_health;addiction;treatment;recovery;hotline;crisis,Statewide,Statewide,Statewide,DE,0,99,"Delaware resource for mental health and addiction prevention, treatment, recovery, and emergency/crisis resources.",Website / hotline / provider search,1-833-946-7333,https://www.helpisherede.com/,needs_mental_health OR substance_use_concern OR crisis_support_needed,High,
R038,Delaware Guidance Services Youth Crisis Response,Mental Health Crisis,youth_crisis;mental_health;trauma;mobile_response,Statewide,Statewide,Statewide,DE,2,18,"Statewide youth crisis response for children and teens experiencing mental health crisis, trauma, or risk of harm.",Call crisis line,1-800-969-HELP,https://www.delawareguidance.org/services/,age<=18 AND crisis_flag == True,High,For emergencies call 911.
R039,DSCYF Crisis Help / MRSS,Mental Health Crisis,crisis;substance_use;mental_health;child_abuse_report,Statewide,Statewide,Statewide,DE,0,18,24-hour emergency help for youth mental health or substance-use crisis and child safety reporting.,Call MRSS or 988; call 911 for life-threatening emergencies,1-800-969-4357,https://kids.delaware.gov/services/crisis-help/,crisis_flag == True OR safety_concern == True,High,Include emergency disclaimer in app.
R040,Delaware 211 Mental Health Resources,Mental Health,counseling;hotlines;treatment;mental_health_navigation,Statewide,Statewide,Statewide,DE,0,99,"Delaware 211 list of requested mental health crisis hotlines, counseling, and treatment resources.",Call/text/chat 211,211,https://delaware211.org/resources/mental-health/,needs_counseling OR mental_health_resource_navigation,High,
R041,NAMI Delaware Crisis Resources,Mental Health Crisis,988;crisis;support;mental_health;substance_use,Statewide,Statewide,Statewide,DE,0,99,Crisis resource page directing people to call or text 988 and outlining Delaware crisis support options.,Call/text 988,988,https://www.namidelaware.org/crisis-resources/,crisis_flag == True OR needs_mental_health_crisis_info,High,
R042,Mental Health Association in Delaware,Mental Health,mental_health;support;advocacy;education,Statewide,Statewide,Statewide,DE,0,99,"Promotes mental well-being through education, support, and advocacy.",Program inquiry / referral,302-654-6833,https://www.mhainde.org/,needs_mental_health_support OR wants_peer_support,Medium,
R043,Champions for Children's Mental Health,Mental Health / Family Support,youth_mental_health;family_support;peer_support;training,Statewide,Statewide,Newark / Lewes,DE,0,18,"Offers peer support, training, and resource information to families caring for youth with mental or behavioral health needs.",Family/caregiver referral,302-503-7198,https://kids.delaware.gov/prevention-and-behavioral-health-services/additional-resources/,age<=18 AND caregiver_needs_support AND mental_health_need,Medium,
R044,Stand By Me Delaware,Financial Literacy,financial_coaching;budgeting;credit;savings;money_management,Statewide,Statewide,Statewide,DE,18,99,Free one-on-one financial coaching for Delaware residents to work toward financial goals.,Online coach request,,https://standbymede.org/,age>=18 AND (needs_budgeting OR needs_credit_help OR needs_bank_account),High,
R045,Delaware Financial Literacy Institute - The Money School,Financial Literacy,budgeting;debt;savings;college_affordability;financial_classes,Statewide,Statewide,Statewide,DE,16,99,"Free financial and business classes covering budgeting, debt, savings, foreclosure prevention, and making college affordable.",Class registration,,https://delaware.gov/djf/veteranProfile.php?aid=175,needs_financial_literacy OR needs_budgeting OR college_affordability,Medium,
R046,Junior Achievement of Delaware,Financial Literacy & Career,financial_literacy;career_readiness;budgeting;credit;entrepreneurship,Statewide,Statewide,Statewide,DE,5,18,"Youth programs that support financial literacy, career readiness, budgeting, credit, investing, and entrepreneurship.",School/community program inquiry,,https://delaware.ja.org/,age<=18 AND needs_financial_literacy OR needs_career_readiness,Medium,
R047,Operation HOPE Youth and Young Adult Programs,Financial Literacy,financial_education;money_management;young_adults,Statewide,Statewide,Virtual / nearby offices,DE,12,24,Age-appropriate financial education for school-age youth and young adults.,Program inquiry,,https://operationhope.org/programs/youth-and-young-adult-programs/,needs_financial_literacy AND (age<=24),Medium,
R048,Community Legal Aid Society Inc. (CLASI),Legal Aid,civil_legal;housing;benefits;family;immigration;disability;victim_support,Statewide,Statewide,Wilmington / Dover / Georgetown,DE,18,99,"Free civil legal services for eligible Delawareans, including low-income individuals, people with disabilities, older adults, and victims of violence or crime.",Legal intake / eligibility screening,,https://www.declasi.org/,needs_legal_help OR eviction_risk OR benefits_denial OR immigration_issue,High,
R049,Delaware Courts Legal Assistance,Legal Aid,legal_referral;CLASI;DVLS;civil_legal,Statewide,Statewide,Statewide,DE,18,99,Court legal assistance page listing civil legal service providers and county contacts.,Use court legal assistance page,,https://courts.delaware.gov/help/legalassistance.aspx,needs_legal_navigation,Medium,
R050,Delaware Legal Help Link,Legal Aid,legal_navigation;civil_legal;self_help,Statewide,Statewide,Statewide,DE,18,99,Online tool to help people with civil legal problems in Delaware find the best help for their situation.,Online legal help link,,https://www.declasi.org/legal-services/,needs_legal_help AND unsure_where_to_start,Medium,
R051,Child Inc Domestic Violence Services,Safety / Domestic Violence,domestic_violence;safety_plan;shelter;advocacy;counseling,Statewide,Statewide,Statewide,DE,0,99,"24/7 domestic violence hotline, advocacy, shelter, counseling, and safety planning services.",Call hotline / safety planning,302-762-6110,https://childinc.com/domestic-violence-services/,safety_concern == True OR domestic_violence_concern == True,High,For immediate danger call 911.
R052,Delaware Coalition Against Domestic Violence,Safety / Domestic Violence,domestic_violence;advocacy;training;resources;LGBTQ_support,Statewide,Statewide,Statewide,DE,0,99,Statewide domestic violence resource and training organization with help resources and LGBTQ+ resources.,Get Help page / referral,,https://dcadv.org/,domestic_violence_concern == True OR needs_safety_resources,High,
R053,YWCA Delaware Sexual Assault Response Center (SARC),Safety / Sexual Assault,sexual_assault;crisis;advocacy;counseling;legal_referral,Statewide,Statewide,Statewide,DE,0,99,"Statewide 24/7 helpline, crisis intervention, advocacy, counseling, legal referrals, and community health case management.",Call helpline / referral,1-800-262-9800,https://www.delawarealliance.org/resources,sexual_assault_concern == True OR trauma_support_needed,High,For immediate danger call 911.
R054,PFLAG Wilmington / Delaware LGBTQ+ Youth Support,LGBTQ+ Support,LGBTQ;peer_support;family_support;youth_group;advocacy,New Castle,New Castle,Wilmington,DE,11,18,Support and social resources for LGBTQ+ middle and high school youth and families.,Youth group / local PFLAG inquiry,,https://www.pflagwilmde.org/,LGBTQ_support_needed == True AND age<=18,Medium,
R055,Delaware LGBTQ+ Resources and Organizations,LGBTQ+ Support,LGBTQ;support;advocacy;education;local_resources,Statewide,Statewide,Statewide,DE,0,99,Delaware resource page listing local LGBTQ+ support organizations including PFLAG chapters.,Resource navigation,,https://history.delaware.gov/lgbtq-history/local-lgbtq-resources-and-organizations/,LGBTQ_support_needed == True,Medium,
R056,CAMP Rehoboth YouthUp,LGBTQ+ Support,LGBTQ;youth;family_support;advocacy;Sussex,Sussex,Sussex,Rehoboth Beach,DE,11,24,"Connects LGBTQ+ youth and families with community resources, advocacy, and support.",Program inquiry,,https://www.camprehoboth.org/resources/lgbtq-resources/,county=='Sussex' AND LGBTQ_support_needed == True,Medium,
R057,The Trevor Project,LGBTQ+ Crisis Support,LGBTQ;crisis;suicide_prevention;chat;text,Statewide,Statewide,Virtual / National,DE,13,24,24/7 crisis intervention and suicide prevention service for LGBTQ+ young people.,Call/text/chat,988 option 3,https://www.thetrevorproject.org/,LGBTQ_support_needed == True AND crisis_flag == True,High,For immediate danger call 911.
R058,Help Is Here Delaware Substance Use Support,Substance Use,substance_use;addiction;treatment;recovery;hotline,Statewide,Statewide,Statewide,DE,0,99,"Delaware prevention, treatment, and recovery resources for substance use and addiction support.",Hotline / website,1-833-9-HOPEDE,https://www.helpisherede.com/,substance_use_concern == True,High,
R059,Delaware Addiction Treatment Resource Center,Substance Use,addiction;treatment;provider_resources;SUD;OUD,Statewide,Statewide,Statewide,DE,0,99,Online hub of Delaware addiction treatment resources and provider information.,Provider/resource lookup,,https://atrc.dhss.delaware.gov/,substance_use_concern == True AND provider_lookup_needed,Medium,
R060,Delaware Division of Public Health / Medicaid Health Coverage via ASSIST,Health Insurance,Medicaid;health_insurance;public_benefits;healthcare,Statewide,Statewide,Statewide,DE,18,99,Use Delaware ASSIST to apply for health and social service benefits such as Medicaid and other assistance programs.,Online application,,https://assist.dhss.delaware.gov/,health_insurance_needed OR Medicaid_continuity_needed,High,
R061,Delaware Parent Resources - Higher Education Guide,Education Navigation,college;financial_aid;scholarships;education_options,Statewide,Statewide,Statewide,DE,14,24,"State guide to education resources including higher education, scholarships, grants, financial aid, and continuing education.",Website navigation / caseworker support,,https://delaware.gov/guides/parent-resources/,"education_goal IN ('college','trade school','continuing education')",Low,
R062,Delaware State Housing Authority / Delaware 211 Housing Connection,Housing,affordable_housing;rent;housing_navigation,Statewide,Statewide,Statewide,DE,18,99,Affordable housing and housing service navigation through Delaware housing resources and Delaware 211.,Website / 211 referral,211,https://delaware211.org/resources/housing/,needs_affordable_housing OR rent_help OR housing_navigation,High,
R063,Delaware County PA 211 / Human Services,Nearby PA/NJ Resource Navigation,food;housing;utilities;mental_health;crisis;nearby_PA,Nearby PA/NJ,Nearby PA/NJ,Delaware County PA,PA/NJ,0,99,"Nearby resource navigation for youth or families connected to Delaware County, Pennsylvania, including food, housing, utilities, mental health, and crisis services.",Call 211 / website,211,https://www.delcopa.gov/community-resources,lives_near_PA OR cross_state_support_needed,Low,
R064,PA CareerLink Delaware County Youth Programs,Nearby Employment,employment;career;young_adults;training;nearby_PA,Nearby PA/NJ,Nearby PA/NJ,Delaware County PA,PA/NJ,17,24,"Nearby youth employment and career programs for young adults in Delaware County, Pennsylvania.",Program inquiry,,https://pacareerlinkdelco.org/youth-programs/,lives_near_PA AND needs_employment,Low,
R065,Community Legal Services of Philadelphia,Nearby Legal Aid,legal_aid;benefits;housing;nearby_PA,Nearby PA/NJ,Nearby PA/NJ,Philadelphia,PA/NJ,18,99,Free legal help for eligible low-income Philadelphia residents; useful for youth connected to nearby Pennsylvania.,Legal intake,,https://clsphila.org/,lives_near_Philly AND needs_legal_help,Low,
